text,label
"Congratulations! You won a free prize. Click now to claim it!",1
"URGENT: Your account has won a cash reward. Claim today.",1
"Free gift waiting for you. Click the link to receive it.",1
"Limited offer! You have been selected for a special reward.",1
"Please verify your account immediately by clicking this link.",1
"Can we move our meeting to tomorrow at 10 AM?",0
"Please review the project report before our meeting.",0
"Your invoice for this month is attached.",0
"Thanks for your email. I will reply this afternoon.",0
"The deployment completed successfully. Have a good day.",0
